id,short_name,name,country,max_distance_to_land,lat_min_box,lat_max_box,lon_min_box,lon_max_box,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
792,GLWD00000792,Nerpich'ye,Russian Federation,4.7,69.1625,69.4125,159.7292,160.5875,69.3125,160.0014,False,False,True,True,True
794,GLWD00000794,Saitlan,Russian Federation,7.6,54.8708,55.0875,78.3458,78.7792,54.9847,78.5847,True,False,True,True,True
797,GLWD00000797,Red Sucker,Canada,2.8,54.0125,54.2708,-94.0125,-93.3708,54.1431,-93.8097,False,False,True,True,True
799,GLWD00000799,Hawizeh-Marshes,Iraq;Iran Islamic Republic of,1,31.2042,31.4292,47.6042,47.7792,31.3792,47.7236,True,False,False,True,True
800,GLWD00000800,Corangamite,Australia,3.7,-38.3625,-37.9958,143.2958,143.5792,-38.0986,143.4542,True,False,True,True,True
801,GLWD00000801,Feia,Brazil,4.5,-22.1542,-21.8792,-41.4792,-41.2042,-21.9931,-41.3875,False,False,True,True,True
804,GLWD00000804,Sachigo,Canada,4,53.6875,53.9292,-92.3542,-91.8125,53.8292,-92.1375,False,False,True,True,True
805,GLWD00000805,Biche,Canada,4.1,54.7292,54.9875,-112.3375,-111.7875,54.8986,-112.2042,False,False,True,True,True
806,GLWD00000806,Qaroun,Egypt,4.3,29.3708,29.5792,30.3625,30.8625,29.4569,30.5847,False,False,True,True,True
810,GLWD00000810,Plonge,Canada,6,54.9958,55.2458,-107.5458,-107.1375,55.1014,-107.2819,False,False,True,True,True
811,GLWD00000811,Stora-Lulevatten,Sweden,2.2,66.9208,67.5625,18.1708,19.8708,67.2181,19.1931,False,False,True,True,True
812,GLWD00000812,Lixi'Oidain,China,5.3,35.6542,35.8458,89.9875,90.3792,35.7431,90.2181,True,False,True,True,True
817,GLWD00000817,Great Bitter,Egypt,4.9,30.1292,30.4542,32.2625,32.6125,30.3319,32.3736,False,False,True,True,True
818,GLWD00000818,Taal,Philippines,4.3,13.8458,14.1292,120.8958,121.1292,13.9486,120.9986,False,False,True,True,True
819,GLWD00000819,Donggi Cona,China,4.4,35.1792,35.4208,98.3375,98.7458,35.2653,98.6431,False,False,True,True,True
824,GLWD00000824,Moultrie,United States,5.6,33.1708,33.4375,-80.1958,-79.9292,33.3181,-80.0625,False,False,True,True,True
825,GLWD00000825,Tishke,Russian Federation,4.4,66.1542,66.3958,31.5625,32.1792,66.2597,31.9069,False,False,True,True,True
827,GLWD00000827,Dalai,China,6,43.1875,43.4292,116.4458,116.7875,43.2847,116.6514,True,False,True,True,True
829,GLWD00000829,Langano,Ethiopia,6.9,7.4792,7.7458,38.6458,38.8625,7.5986,38.7597,True,False,True,True,True
831,GLWD00000831,Rupanco,Chile,3.4,-40.9375,-40.7292,-72.7292,-72.1458,-40.8014,-72.5736,True,False,True,True,True
833,GLWD00000833,Sirindhorn,Thailand,3,14.7708,15.2458,105.2708,105.5042,15.1569,105.3875,False,False,True,True,True
836,GLWD00000836,Salvador,United States,5.6,29.6042,29.9042,-90.3875,-90.1125,29.7125,-90.2625,False,False,True,True,True
837,GLWD00000837,Waterhen,Canada,4.2,51.8792,52.3042,-99.6958,-99.4375,52.0819,-99.5736,False,False,True,True,True
840,GLWD00000840,Yalpug,Ukraine,3.7,45.2208,45.7125,28.5458,28.7792,45.2986,28.6653,False,False,True,True,True
849,GLWD00000849,Blackwater,Canada,3.5,63.7792,64.2125,-123.3708,-122.8625,63.9375,-123.1625,False,False,True,True,True
851,GLWD00000851,Tenis,Russian Federation,4.5,56.0042,56.2542,71.5708,72.0708,56.1514,71.7236,False,False,True,True,True
870,GLWD00000870,Aralsor-Koli,Kazakhstan,4.1,48.9208,49.1625,48.0375,48.5292,49.0625,48.1875,False,False,True,True,True
872,GLWD00000872,White,United States,5.2,29.6292,29.8542,-92.6542,-92.3458,29.7625,-92.5569,False,False,True,True,True
876,GLWD00000876,Weishan,China,5.3,34.4708,34.7708,117.1125,117.3958,34.5986,117.2319,False,False,True,True,True
879,GLWD00000879,Alakol,Kazakhstan,2.2,44.7708,44.9542,74.0792,74.4458,44.8708,74.1958,False,False,True,True,True
881,GLWD00000881,Burdur,Turkey,4.3,37.5958,37.8542,30.0042,30.3792,37.7264,30.1653,False,False,True,True,True
882,GLWD00000882,Upper Ugashik,United States,4.8,57.5208,57.8292,-156.8792,-156.4958,57.6458,-156.7486,False,False,True,True,True
883,GLWD00000883,Mono,United States,5,37.9042,38.1125,-119.1875,-118.8708,38.0181,-118.9681,True,False,True,True,True
892,GLWD00000892,Fuxian,China,5.3,24.3125,24.6708,102.7792,102.9958,24.5847,102.8986,False,False,True,True,True
893,GLWD00000893,Neuchatel,Switzerland,3.6,46.7458,47.0458,6.5958,7.0875,46.9569,6.9375,True,False,True,True,True
894,GLWD00000894,Molochnoye,Ukraine,4.2,46.3375,46.7458,35.2375,35.5375,46.5042,35.3514,False,False,True,True,True
902,GLWD00000902,Teke,Kazakhstan,7,53.6958,53.9708,72.7792,73.1375,53.8375,72.9347,False,False,True,True,True
904,GLWD00000904,Waswanipi,Canada,3,49.4292,49.7292,-76.7125,-76.2958,49.5319,-76.3931,False,False,True,True,True
905,GLWD00000905,Oneida Lake,United States,4.2,43.1125,43.2958,-76.1708,-75.6958,43.1931,-75.8875,False,False,True,True,True
907,GLWD00000907,Shalkar,Kazakhstan,7.8,50.4375,50.6958,51.5292,51.8375,50.5569,51.6792,False,False,True,True,True
908,GLWD00000908,Loche,Canada,4,56.3125,56.6125,-109.7458,-109.3792,56.5208,-109.5875,False,False,True,True,True
910,GLWD00000910,Canoe,Canada,5.8,55.0458,55.3125,-108.4125,-108.0542,55.1764,-108.2653,False,False,True,True,True
913,GLWD00000913,Hsu-ju,China,5.9,30.1292,30.4208,86.3042,86.5208,30.3181,86.4069,False,False,True,True,True
915,GLWD00000915,Cabaliana,Brazil,3.9,-3.4042,-3.2125,-60.9958,-60.6042,-3.3125,-60.8236,False,False,True,True,True
917,GLWD00000917,Zimbambo,Congo The Democratic Republic of the,3.7,-8.2542,-7.9458,26.7708,26.9958,-8.0347,26.9208,True,True,True,True,True
920,GLWD00000920,Telmen,Mongolia,5.1,48.7375,48.9375,97.1042,97.5542,48.8486,97.3514,True,False,True,True,True
924,GLWD00000924,Dorge,China,4.6,35.1208,35.3042,91.8792,92.3292,35.2181,92.1347,False,False,True,True,True
929,GLWD00000929,George,United States,5.1,29.1625,29.5208,-81.7292,-81.4875,29.2986,-81.5958,False,False,True,True,True
931,GLWD00000931,Robert S. Kerr,United States,2.9,35.2125,35.5708,-95.1792,-94.7375,35.3542,-94.8597,False,False,True,True,True
934,GLWD00000934,Pukaki,New Zealand,3.4,-44.2292,-43.7625,170.0792,170.2625,-44.0597,170.1736,True,False,True,True,True
936,GLWD00000936,Yanisyarni,Russian Federation,5.2,61.8458,62.1708,30.6875,31.1125,61.9792,30.9708,True,False,True,True,True
937,GLWD00000937,Rana Pratap,India,3.4,24.6875,24.9625,75.3042,75.6875,24.8153,75.5986,False,False,True,True,True
940,GLWD00000940,Laberge,Canada,2.8,60.9125,61.4292,-135.3542,-135.0042,61.0625,-135.1153,False,False,True,True,True
944,GLWD00000944,Bolshoye-Morskoye,Russian Federation,6.8,69.9375,70.1708,158.4875,159.0458,70.0597,158.7319,False,False,True,True,True
945,GLWD00000945,Hanhowuz Howdany,Turkmenistan,6.1,37.0875,37.2958,61.1875,61.4458,37.1986,61.3153,False,False,True,True,True
948,GLWD00000948,Maggiore,Italy;Switzerland,2.4,45.6875,46.2208,8.4458,8.8958,45.9903,8.6819,False,False,True,True,True
949,GLWD00000949,Nanew,Canada,3.3,54.0292,54.3292,-102.1042,-101.7208,54.2319,-101.8653,False,False,True,True,True
953,GLWD00000953,Urua,Brazil,2.9,-2.4042,-2.1125,-56.8292,-56.3792,-2.1931,-56.4958,False,False,True,True,True
954,GLWD00000954,Inland,United States,5.9,66.3625,66.5958,-160.1792,-159.6042,66.4819,-159.8486,False,False,True,True,True
957,GLWD00000957,Alaotra,Madagascar,3.1,-17.6708,-17.2875,48.4125,48.6625,-17.4042,48.5597,False,False,True,True,True
960,GLWD00000960,Malyye Chany,Russian Federation,5.7,54.4458,54.6958,77.7458,78.1708,54.5486,77.9958,False,False,True,True,True
962,GLWD00000962,Del-Toro,Chile,3.3,-51.3458,-51.0792,-73.0125,-72.5042,-51.2097,-72.7042,False,False,True,True,True
970,GLWD00000970,Baitu,China,2.4,30.6792,31.0042,116.9542,117.2042,30.7903,117.1042,False,False,True,True,True
975,GLWD00000975,Guiers,Senegal,3,15.9375,16.4208,-15.9792,-15.7375,16.2708,-15.8319,False,False,True,True,True
976,GLWD00000976,Bartlett,Canada,3.1,62.9542,63.2208,-118.5625,-118.0792,63.0931,-118.4486,False,False,True,True,True
977,GLWD00000977,Reed,Canada,3,54.5375,54.7625,-100.6792,-100.2292,54.6125,-100.3736,False,False,True,True,True
982,GLWD00000982,Sangiyn Dalay,Mongolia,3.4,49.0958,49.3458,98.7542,99.2875,49.2736,98.9458,False,False,True,True,True
983,GLWD00000983,Rinqin-Xub-Lake,China,6.2,31.1708,31.3875,83.2792,83.5792,31.2847,83.4597,False,False,True,True,True
985,GLWD00000985,Ulakh-Ulyung,Russian Federation,3.2,68.1042,68.3625,150.8625,151.5208,68.2625,151.0792,False,False,True,True,True
989,GLWD00000989,Zige-Tang,China,6.3,31.9625,32.2042,90.6958,90.9958,32.0875,90.8792,True,False,True,True,True
990,GLWD00000990,Ge,China,4.8,31.4292,31.7292,119.6958,119.9292,31.6181,119.8347,False,False,True,True,True
1003,GLWD00001003,Talbot,Canada,4.3,53.8458,54.1958,-100.0625,-99.7292,54.0903,-99.8375,False,False,True,True,True
1007,GLWD00001007,Guarico,Venezuela Bolivarian Republic of,5.3,8.9042,9.2042,-67.4792,-67.2708,9.0458,-67.3847,False,False,True,True,True
1009,GLWD00001009,Missisa,Canada,5.1,52.1958,52.4458,-85.3458,-85.0458,52.2986,-85.1931,False,False,True,True,True
1010,GLWD00001010,Lower-Ugashik,United States,6,57.3792,57.6208,-157.0708,-156.6875,57.5153,-156.9069,False,False,True,True,True
1011,GLWD00001011,Bolshoy-Uvat,Russian Federation,4.9,57.4458,57.6292,70.2208,70.7208,57.5264,70.3875,False,False,True,True,True
